cluster_id,news_count,unique_sources,sources,representative_title,citability_score
34,12,10,"ria.ru, news.mail.ru, ura.news, osnmedia.ru, m24.ru, kolomna-spravka.ru, vm.ru, vedomosti.ru, nsn.fm, tvzvezda.ru","Четырнадцать новых методов лечения вошли в базовую программу ОМС в 2026 году, сообщил в интервью РИА Новости председатель Федерального фонда обязательного медицинского страхования (ФФОМС) Илья Баланин.",120
31,7,7,"ria.ru, osnmedia.ru, kamchatka.aif.ru, yamal.aif.ru, news.mail.ru, russian.rt.com, vm.ru","Средний размер пенсионного обеспечения более 30 тысяч рублей в мае 2026 года среди неработающих граждан отмечен в 13 регионах РФ, следует из данных Социального фонда России, с которыми ознакомилось РИА Новости.",49
50,23,1,belta.by,"22 июня, Минск /Корр.",23
8,7,3,"t.me, radiosputnik.ria.ru, 1prime.ru",▪️Премьер-министр Великобритании Кир Стармер объявил об отставке.,21
12,4,4,"t.me, energyland.info, akm.ru, pnp.ru",ФАС взаимодействует с цифровыми платформами для предотвращения спекулятивных перепродаж топлива.,16
28,4,4,"ria.ru, life.ru, news.mail.ru, vm.ru","Ненецкий и Ямало-Ненецкий автономные округа лидируют в рейтинге регионов России по доходам населения, замыкают список Тува и Ингушетия, свидетельствует исследование РИА Новости.",16
10,5,3,"t.me, m.interfax.ru, vedomosti.ru",❗️🇷🇺#MOEX #дивиденд ГОСА Мосбиржи не состоялось из-за отсутствия кворума,15
20,4,3,"t.me, vedomosti.ru, avia.pro",Акции Газпрома упали до 100 рублей @banksta,12
37,3,3,"ria.ru, osnmedia.ru, russian.rt.com","Жители отдаленного острова Комо на Фиджи обнаружили на побережье 27 килограммовых брикетов кокаина с маркировкой Tesla, еще 35 аналогичных свертков были найдены на соседнем острове Муниа, сообщает австралийская телерадиокомпания ABC .",9
41,3,3,"m.interfax.ru, news.mail.ru, vedomosti.ru","Экспорт легковых автомобилей из КНР в РФ в мае превысил $1,3 млрд",9
44,3,3,"news.mail.ru, vm.ru, m24.ru",Mash: Сюткин выставил на продажу квартиру в центре Москвы за пять миллионов евро,9
0,3,3,"t.me, life.ru, kolomna-spravka.ru",Правительство подготовило новую версию законопроекта об искусственном интеллекте (ИИ).,9
62,3,3,"krym.aif.ru, nsn.fm, aviaport.ru","Ошибочное срабатывание датчика разгерметизации, предварительно, стало причиной вынужденной посадки самолета авиакомпании «Победа» в аэропорту Махачкалы 22 июня.",9
66,3,3,"vm.ru, pronedra.ru, pnp.ru",Федеральная антимонопольная служба возбудила дело в отношении трех нефтетрейдеров.,9
4,3,2,"t.me, 1prime.ru",💥🇰🇷#000660KR Производитель чипов SK Hynix обогнал Samsung Electronics и стала самой дорогой компанией Южной Кореи,6
9,3,2,"t.me, vedomosti.ru",🇷🇺#BELU НКР подтвердило кредитный рейтинг Novabev Group на уровне AA.,6
72,2,2,"kolomna-spravka.ru, news.mail.ru",Метеоролог Позднякова: к концу июня в Москве потеплеет до +25 °C,4
3,2,2,"t.me, news.mail.ru","54 человека пострадали при взрыве в промышленном городе Рас-Лаффан в Катаре, сообщило Министерство внутренних дел страны.",4
2,2,2,"t.me, news.mail.ru",🇷🇺#нерезы #россия Совокупные активы недружественных стран в России сократились с начала 2022 г.,4
